nazev_stanice,trvani_vypujcky,pocet_pujceni,zemepisna_sirka,zemepisna_delka,pocet_vraceni,trvani_vypujcky_min
Pleasance Courtyard,1303498,1380,55.947566653309394,-3.181591941706529,1378,21724.97
Kings Buildings - Murchison House,1943460,1301,55.92446420087144,-3.178731512475451,1308,32391.0
Macdonald Road,1911676,1015,55.963995150971236,-3.185188767893123,1341,31861.27
Constitution Street,1677131,889,55.97544142756835,-3.166806411195239,1733,27952.18
Riego Street,1225055,850,55.945159896857184,-3.203678290717107,877,20417.58
Shrubhill,1666608,726,55.96253727246136,-3.179472670388236,1153,27776.8
Ellersly Road,1565872,719,55.945045875212095,-3.250881447188249,703,26097.87
Borrowman Square,1936811,619,55.98260596953824,-3.381454898058535,548,32280.18
The Tron,780436,613,55.95003729291336,-3.187821518826922,456,13007.27
Forth Bridge Visitors Centre,1649134,557,55.987743170866025,-3.40375244599943,489,27485.57
Sighthill - Edinburgh College,1959916,552,55.926664566092654,-3.289467852759799,698,32665.27
Heriot Watt - Student Accommodation,1460426,530,55.90841344459825,-3.328783525816887,429,24340.43
Royal Edinburgh Hospital,1046102,529,55.92781815597736,-3.213307722203224,428,17435.03
Leith Links,1409195,503,55.96919856910954,-3.166884617023356,809,23486.58
"Waitrose, Comely Bank",1043469,484,55.959504176688824,-3.223428055375961,749,17391.15
Brunswick Place - Virtual,631732,457,55.960929747664,-3.181005314780577,485,10528.87
IGMM,603629,412,55.96248692705142,-3.232031328469361,510,10060.48
Dalmeny Station,1301610,410,55.98676132611317,-3.382426853781425,324,21693.5
Dalry Road Co-op,1269186,391,55.94271471556419,-3.221430982426,522,21153.1
Western General,871995,366,55.96345848770889,-3.23280956008216,404,14533.25
Drummond Street,427659,341,55.9483365370385,-3.18226129953905,389,7127.65
Hillside Crescent 2,689078,328,55.957803310852015,-3.1754794362148,376,11484.63
Musselburgh Brunton Hall,1014954,294,55.94400897108537,-3.058492533629163,379,16915.9
Murrayfield Avenue,446822,266,55.94632179137708,-3.236542329964095,275,7447.03
Kings Buildings 4,845632,254,55.92200087060626,-3.1769018141649212,196,14093.87
Whitehouse Loan,335065,247,55.93632904938287,-3.202294536676049,109,5584.42
Edinburgh Park Central,651337,221,55.931168715771065,-3.314414297805683,237,10855.62
Tesco Ferrymuir,686030,219,55.983766187891035,-3.401351801602175,200,11433.83
Port Edgar Marina,519191,195,55.992957267668345,-3.407156205559118,203,8653.18
Pollock Halls Virtual,350402,191,55.94034806856411,-3.172108169850503,177,5840.03
Victoria Park,341210,178,55.97424715757633,-3.194482342104265,235,5686.83
Newhaven Road / Dudley Gardens,281140,175,55.97592738157906,-3.191317916099706,316,4685.67
Ingliston Park & Ride,387536,136,55.9387919459937,-3.355556216932513,224,6458.93
Scotstoun House,491028,128,55.98110725959637,-3.39421060796127,122,8183.8
Hillside Crescent 1,183574,123,55.95791033111316,-3.180692837632364,149,3059.57
Henderson Row,183063,91,55.96026010209808,-3.203912595837096,95,3051.05
Meadow Place 2,115456,87,55.940237631689435,-3.194640214184801,60,1924.27
Balgreen,196486,85,55.93893772779211,-3.251173333050928,104,3274.77
Whitehouse Road,158811,62,55.96152699979099,-3.306114175491529,88,2646.85
St. John's Road 2,110142,56,55.942944853851905,-3.290794069257344,67,1835.7
HSBC UK Lets Ride - Meadows Event,155489,55,55.939977758149666,-3.189862157672223,50,2591.48
Fountain Court  - Apartments (RESIDENTS ONLY),72783,47,55.94380585491596,-3.211238456749925,36,1213.05
St. John's Road 1,100772,46,55.94274592050117,-3.281623013233002,64,1679.53
Launch Day Event,72300,45,55.942551339390945,-3.191380756192416,49,1205.0
Gibson Terrace,258290,45,55.94049262199568,-3.2171441917087122,44,4304.83
Heriot Watt - Student Accomodation (Anna MacLeod Halls),124817,45,55.908403986062076,-3.328825358925314,35,2080.28
Meadows - Edinburgh Climate Festival,58412,43,55.94173596765826,-3.190360574257738,42,973.53
RHC - Edinburgh Festival Camping (05th to 26th August),228987,41,55.94065528387753,-3.381606403941987,22,3816.45
Queensferry Road,119592,39,55.95454278693572,-3.23472817617926,51,1993.2
Eden Locke - Aparthotel (RESIDENTS ONLY),53834,29,55.95264053655981,-3.205665534467016,23,897.23
Dunbarâ€™s Close Garden,39097,25,55.951813501278245,-3.178725911660876,24,651.62
Royal Infirmary,38643,19,55.924295174984614,-3.133510335817163,35,644.05
West Newington Place,28294,19,55.93821225851473,-3.17897226737648,18,471.57
Haymarket - Murrayfield Rugby Event,37033,19,55.945452213917534,-3.219679557435938,11,617.22
Corstorphine Road - Pinkhill,46542,18,55.942364438846695,-3.265384123501235,21,775.7
Ingliston Park and Ride (19th to 23rd June),36044,11,55.93909048596021,-3.355912910873826,7,600.73
Crescent House,43434,9,55.96391066325888,-3.191861874639585,9,723.9
Corn Exchange - walk cycle event,9601,6,55.92701363904687,-3.248556775310362,7,160.02
Royal Highland Show - East Gate (19th to 23rd June),20125,6,55.940906749395,-3.3688722251728223,8,335.42
Holyrood Park - Woman's Tour Of Scotland (Event 11/08/19),14209,6,55.95135352288074,-3.168590609786974,5,236.82
Novotel,607,5,55.944896459715345,-3.199635221500898,6,10.12
Sustrans - walk cycle event,6703,4,55.945452213917534,-3.219679557435938,3,111.72
Depot Virtual,5127,3,55.97233473082818,-3.155781602605998,6,85.45
Fort Kinnaird,37705,3,55.93437199635734,-3.105037819791278,6,628.42
Depot,200,2,55.97237325804326,-3.155833150766966,3,3.33
Pleasance - Edinburgh University Sports Fair,3432,2,55.948209628249515,-3.181597452807864,6,57.2
Royal Highland Show - West Gate (19th to 23rd June),5380,1,55.94065528387753,-3.381606403941987,2,89.67
Cycling Scotland Conference,770,1,55.940886347739024,-3.240777565829148,2,12.83
City Chambers Launch Station,296,1,55.950222304548845,-3.190270030188429,0,4.93
Picady Place,1396,1,55.95653524179326,-3.18624761207468,1,23.27
Smarter Travel Station,0,0,0.0,0.0,3,0.0
Virtual Depot,0,0,0.0,0.0,2,0.0
